currency,asset,exchange,strategy,profit,profit daily,yearly profit,market change,profit-market,trade amount,trades daily,wining trades,losses trades,candle size,warmup period,backtest start,dataset from,dataset to,strategy config,,,,,,,,,,,
BTC,BNB,binance,BB,-47%,-23.50%,-277%,200%,-247,514,257,NA,NA,10,73,2018-02-27 00:08:53,2017-12-20 00:00:00,2018-02-19 23:59:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,OMG,binance,BB,-48%,-24.00%,-285%,50%,-98,487,243.5,NA,NA,10,73,2018-02-27 00:35:36,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,ADA,binance,BB,-50%,-25.00%,-298%,11%,-61,477,238.5,NA,NA,10,73,2018-02-27 01:02:41,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USDT,NEO,binance,BB,-60%,-30.00%,-357%,96%,-156,943,471.5,NA,NA,5,144,2018-03- 2 16:59:34,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,ICX,binance,BB,-65%,-32.50%,-387%,243%,-308,425,212.5,NA,NA,10,73,2018-02-27 00:49:34,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USDT,BTC,binance,BB,-68%,-34.00%,-400%,-35%,-33,446,223,NA,NA,10,73,2018-02-27 00:36:06,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
ETH,EOS,binance,BB,-69%,-34.50%,-411%,-29%,-40,470,235,NA,NA,10,73,2018-02-27 00:22:09,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,ZEC,binance,BB,-70%,-35.00%,-418%,24%,-94,605,302.5,NA,NA,10,73,2018-02-27 00:50:12,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
USDT,LTC,binance,BB,-75%,-37.50%,-444%,-34%,-41,460,230,NA,NA,10,73,2018-02-27 00:35:13,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
BTC,ETC,binance,BB,-76%,-38.00%,-451%,59%,-135,1007,503.5,NA,NA,5,144,2018-03- 2 16:24:50,2017-12-20 00:00:00,2018-02-19 23:58:00,"    ""bbands"": {     ""TimePeriod"": 20,     ""NbDevUp"": 2.25,     ""NbDevDn"": 2   } ",,,,,,,,,,,
